Snail,MeanHR_retracted,MeanHR_moving,RRms_retracted,RRms_moving,SDNN_retracted,SDNN_moving,pNN100_retracted,pNN100_moving
1,38.61700478,59.45181572,1566.008707,1010.122356,286.7765542,39.09482549,64,5.128205128
2,23.32743868,30.0847393,2572.02865,1996.661102,96.95609554,106.1791692,23.33333333,35.8974359
3,32.13823446,33.70931708,1867.453508,1805.28153,49.09069773,235.5898266,9.523809524,13.95348837
5,20.52064416,17.41849851,2925.113284,3484.067649,85.8929516,454.7646486,11.11111111,86.36363636
6,32.17651304,36.54003243,1865.900532,1642.19277,65.65932529,81.12259171,14.28571429,33.33333333
7,37.02501929,45.24395843,1622.431944,1329.538302,86.18798473,83.02790845,18.75,15
8,39.51850557,43.61857671,1518.556569,1375.28064,28.4319113,56.79292489,5.882352941,21.05263158
10,27.05374611,31.67394525,2238.916713,1910.326735,338.7149041,214.4332959,74.28571429,68.29268293
11,26.71157266,41.77408378,2265.813393,1437.547428,441.3811053,83.63754942,65.71428571,25.92592593
12,24.26223618,41.92061019,2566.64333,1432.745051,1045.231282,121.6880306,76.66666667,36.36363636
13,29.55246619,42.95612647,2032.447241,1408.194945,94.18306221,176.0144123,28.94736842,51.78571429
19,31.3527633,42.41117563,1937.355911,1416.395747,378.4355461,45.91412873,78.04878049,19.64285714
20,24.62378725,41.18999393,2435.372085,1473.971771,99.09674322,172.4700239,46.875,29.62962963
21,48.42831108,50.84955728,1240.087646,1180.398704,114.4117949,60.98641568,33.33333333,14.92537313
25,38.37989772,51.87596839,1567.318079,1157.484697,129.0408358,40.354895,32,8.823529412
26,44.85229811,46.81376171,1337.822925,1281.706069,111.579853,34.38926337,27.5862069,1.639344262
27,34.9077189,42.31749817,1730.420266,1418.153062,187.4684658,40.94419629,33.33333333,8.928571429
28,24.50892297,49.46709253,2508.220772,1213.638893,460.3683739,28.38738647,90.625,4.615384615
30,37.29182712,48.91307634,1611.352254,1227.173494,85.80701811,32.87944324,6.12244898,3.125
32,38.01222677,42.72536658,1578.44774,1405.266087,30.65859956,53.64575203,4,14.28571429
