Date,Time,Temperature_°C,Relative_humidity_%
15/01/2025,13:00:00,22.6,55
15/01/2025,13:30:00,22.4,60
15/01/2025,14:00:00,21.4,60
15/01/2025,14:30:00,20.3,70
15/01/2025,15:00:00,20.3,72
15/01/2025,15:30:00,22,67
16/01/2025,13:00:00,21,66
16/01/2025,13:30:00,21.5,64
16/01/2025,14:00:00,21.1,68
16/01/2025,14:30:00,21.5,67
16/01/2025,15:00:00,21.3,57
17/01/2025,13:00:00,21,58
17/01/2025,13:30:00,20.3,58
17/01/2025,14:00:00,22.6,55
17/01/2025,14:30:00,22.1,60
17/01/2025,15:00:00,21.9,60
18/01/2025,13:00:00,22.8,65
18/01/2025,13:30:00,20.7,60
18/01/2025,14:00:00,22,60
18/01/2025,14:30:00,21,66
18/01/2025,15:00:00,21.8,63
19/01/2025,13:00:00,21.1,68
19/01/2025,13:30:00,20.7,65
19/01/2025,14:00:00,20.1,60
19/01/2028,14:30:00,20.1,60
19/01/2025,15:00:00,20.1,60
